2025-05-02T17:17:12.863Z | Ultimate Tango | success | Methods: btcNiceName
2025-05-02T18:35:28.612Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:35:31.327Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:35:33.746Z | Boston Sunday Practica Group | success | Methods: cache
2025-05-02T18:35:35.928Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:35:38.329Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:35:42.436Z | Practica Spark | success | Methods: cache
2025-05-02T18:35:45.090Z | Toby Balsley | success | Methods: cache
2025-05-02T18:35:47.276Z | Toby Balsley | success | Methods: cache
2025-05-02T18:35:50.624Z | Guillermo Merlo | success | Methods: cache
2025-05-02T18:35:53.132Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:35:55.357Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:35:57.677Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:36:00.780Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:36:03.180Z | Tango Academy of Boston | success | Methods: cache
2025-05-02T18:36:05.421Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:36:07.615Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:36:09.847Z | Tango Society of Boston | success | Methods: cache
2025-05-02T18:36:12.924Z | Milonga Sal Azul Team | success | Methods: cache
2025-05-02T18:36:15.143Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:36:17.850Z | Laura Grandi | success | Methods: cache
2025-05-02T18:36:20.286Z | Tango Affair | success | Methods: btcNiceName
2025-05-02T18:36:22.635Z | Tango Affair | success | Methods: cache
2025-05-02T18:36:26.110Z | FG Dance Academy | success | Methods: cache
2025-05-02T18:36:28.417Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:36:30.625Z | Tango Sueño Academy | success | Methods: cache
2025-05-02T18:36:33.041Z | FG Dance Academy | success | Methods: cache
2025-05-02T18:36:35.631Z | FG Dance Academy | success | Methods: cache
2025-05-02T18:36:37.772Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:36:39.913Z | Ultimate Tango | success | Methods: cache
2025-05-02T18:36:42.495Z | Tango Society of Boston | success | Methods: cache
2025-05-02T19:01:29.084Z | Boston Sunday Practica Group | success | Methods: btcNiceName
2025-05-02T19:01:29.633Z | Tango Society of Boston | success | Methods: btcNiceName
2025-05-02T19:01:31.853Z | Guillermo Merlo | success | Methods: btcNiceName
2025-05-02T19:01:33.258Z | Tango Society of Boston | success | Methods: cache
2025-05-02T19:01:33.340Z | Tango Society of Boston | success | Methods: cache
2025-05-02T19:01:33.429Z | Tango Society of Boston | success | Methods: cache
2025-05-02T19:01:35.487Z | Guillermo Merlo | success | Methods: cache
2025-05-02T19:01:36.793Z | FG Dance Academy | success | Methods: btcNiceName
2025-05-02T19:01:37.112Z | FG Dance Academy | success | Methods: cache
2025-05-02T19:01:37.195Z | Laura Grandi | success | Methods: btcNiceName
2025-05-02T19:01:37.526Z | Milton and Corin | success | Methods: btcNiceName
2025-05-02T19:03:16.157Z | Boston Sunday Practica Group | success | Methods: cache
2025-05-02T19:03:16.245Z | Tango Society of Boston | success | Methods: cache
2025-05-02T19:03:17.448Z | Guillermo Merlo | success | Methods: cache
2025-05-02T19:03:18.181Z | Tango Society of Boston | success | Methods: cache
2025-05-02T19:03:18.267Z | Tango Society of Boston | success | Methods: cache
2025-05-02T19:03:18.358Z | Tango Society of Boston | success | Methods: cache
2025-05-02T19:03:19.433Z | Guillermo Merlo | success | Methods: cache
2025-05-02T19:03:20.133Z | FG Dance Academy | success | Methods: cache
2025-05-02T19:03:20.218Z | FG Dance Academy | success | Methods: cache
2025-05-02T19:03:20.297Z | Laura Grandi | success | Methods: cache
2025-05-02T19:03:20.396Z | Milton and Corin | success | Methods: cache
